,0,1,label,outlier
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/007/75/00775__072.jpg,-20.184729,18.13307,Asteraceae Antennaria marginata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__023.jpg,2.9799232,-24.031544,Asteraceae Marshallia graminifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/53/05353__082.jpg,-1.6377224,16.172096,Asteraceae Encelia californica,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__046.jpg,18.451115,-26.06511,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/001/53/00153__016.jpg,-15.938577,-4.1467195,Asteraceae Adenophyllum cooperi,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/66/07266__062.jpg,-4.8531256,-1.533404,Asteraceae Heterotheca polothrix,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__026.jpg,17.985466,2.8114898,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/12/04112__071.jpg,-32.27349,-20.52186,Asteraceae Crepis intermedia,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/08/04108__085.jpg,-33.16648,-17.49109,Asteraceae Crepis acuminata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/075/20/07520__055.jpg,5.689092,1.2368256,Asteraceae Hymenoxys hoopesii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/73/05673__025.jpg,-26.214842,21.113373,Asteraceae Erigeron vagus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/43/14243__095.jpg,-4.6353393,-22.86386,Asteraceae Symphyotrichum adnatum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/86/02986__050.jpg,21.432,-14.52135,Asteraceae Carphephorus odoratissimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/20/01120__004.jpg,8.460219,10.174631,Asteraceae Arnica gracilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__030.jpg,2.6923258,-12.70187,Asteraceae Brickellia longifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/86/02986__031.jpg,22.23589,-16.393066,Asteraceae Carphephorus odoratissimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/27/01927__039.jpg,7.7494016,26.42398,Asteraceae Bidens vulgata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/001/53/00153__095.jpg,-15.917122,-4.9449058,Asteraceae Adenophyllum cooperi,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__045.jpg,2.2908123,-14.135838,Asteraceae Brickellia longifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/53/05353__093.jpg,-1.015745,16.345016,Asteraceae Encelia californica,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/12/01912__017.jpg,11.209554,31.91432,Asteraceae Bidens eatonii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/86/02986__086.jpg,21.79914,-15.5183,Asteraceae Carphephorus odoratissimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__058.jpg,15.779467,0.30524415,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/001/53/00153__009.jpg,-16.786528,-6.0354285,Asteraceae Adenophyllum cooperi,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/80/06280__050.jpg,19.410835,12.260716,Asteraceae Eurybia divaricata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/05/01905__057.jpg,-5.48046,30.19566,Asteraceae Bidens beckii,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__038.jpg,21.46437,6.3623824,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/67/07267__008.jpg,-6.3306627,1.4563662,Asteraceae Heterotheca pumila,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/065/28/06528__021.jpg,-11.557111,4.8172994,Asteraceae Gaillardia spathulata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/86/02986__083.jpg,21.243704,-15.7414,Asteraceae Carphephorus odoratissimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/121/72/12172__073.jpg,24.57327,-7.3617077,Asteraceae Pterocaulon pycnostachyum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/082/57/08257__018.jpg,-17.711195,-13.075741,Asteraceae Lepidospartum latisquamum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/87/02987__068.jpg,18.51589,-19.282618,Asteraceae Carphephorus paniculatus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/121/72/12172__047.jpg,25.142126,-5.6905007,Asteraceae Pterocaulon pycnostachyum,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__049.jpg,-29.86003,-14.873732,Asteraceae Crepis occidentalis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__014.jpg,15.522989,-8.346126,Asteraceae Brickellia longifolia,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/73/05673__043.jpg,-26.937674,20.154406,Asteraceae Erigeron vagus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/114/77/11477__042.jpg,-8.854447,-2.4497044,Asteraceae Pityopsis falcata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/082/57/08257__003.jpg,-17.980412,-11.935319,Asteraceae Lepidospartum latisquamum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/001/53/00153__040.jpg,-17.29251,-5.871703,Asteraceae Adenophyllum cooperi,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__093.jpg,3.5454957,-24.777987,Asteraceae Marshallia graminifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/048/60/04860__032.jpg,-3.79656,-5.7822924,Asteraceae Dieteria canescens,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/088/54/08854__066.jpg,2.8471475,-27.58249,Asteraceae Lygodesmia aphylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/43/14243__065.jpg,-6.056342,-20.632584,Asteraceae Symphyotrichum adnatum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/12/04112__062.jpg,-31.21344,-18.462753,Asteraceae Crepis intermedia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/64/05664__062.jpg,-27.55257,5.052912,Asteraceae Erigeron tener,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/082/57/08257__088.jpg,-15.89153,-11.833733,Asteraceae Lepidospartum latisquamum,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__028.jpg,-27.29204,-15.419079,Asteraceae Crepis occidentalis,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/73/05673__039.jpg,-26.35278,19.916315,Asteraceae Erigeron vagus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/05/01905__051.jpg,-4.2142777,30.548347,Asteraceae Bidens beckii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/035/03/03503__026.jpg,16.855732,-8.0166,Asteraceae Chrysopsis mariana,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/66/07266__006.jpg,15.752981,-7.962354,Asteraceae Heterotheca polothrix,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/64/05664__064.jpg,-26.84551,7.391715,Asteraceae Erigeron tener,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/05/01905__081.jpg,-4.4765487,31.137636,Asteraceae Bidens beckii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/91/06291__021.jpg,18.60682,5.72082,Asteraceae Eurybia radula,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/43/14243__061.jpg,-5.309092,-20.418066,Asteraceae Symphyotrichum adnatum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/27/01927__051.jpg,8.499603,24.750248,Asteraceae Bidens vulgata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/45/05645__050.jpg,-23.734823,5.187026,Asteraceae Erigeron pulcherrimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/070/84/07084__088.jpg,19.014343,19.270344,Asteraceae Helianthus debilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/075/20/07520__008.jpg,4.4668655,2.3491962,Asteraceae Hymenoxys hoopesii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__069.jpg,-31.211946,-13.306724,Asteraceae Crepis occidentalis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__094.jpg,-30.039434,-13.087475,Asteraceae Crepis occidentalis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/066/23/06623__061.jpg,32.389133,2.9220798,Asteraceae Garberia heterophylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/05/01905__022.jpg,-3.472642,29.77323,Asteraceae Bidens beckii,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/80/06280__041.jpg,21.314058,12.350873,Asteraceae Eurybia divaricata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/007/75/00775__011.jpg,-18.20909,19.430086,Asteraceae Antennaria marginata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__083.jpg,-29.03892,-13.049525,Asteraceae Crepis occidentalis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/066/23/06623__047.jpg,31.017422,2.1501172,Asteraceae Garberia heterophylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/77/05677__039.jpg,-24.995739,7.057288,Asteraceae Erigeron vetensis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/25/01925__023.jpg,4.217401,29.121975,Asteraceae Bidens trichosperma,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/80/06280__087.jpg,20.107874,11.963087,Asteraceae Eurybia divaricata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__040.jpg,16.46601,0.4571654,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__099.jpg,2.697664,-10.678054,Asteraceae Brickellia longifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/57/05357__077.jpg,-4.178406,15.89478,Asteraceae Encelia virginensis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/065/28/06528__035.jpg,-10.530267,6.5884857,Asteraceae Gaillardia spathulata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/10/01910__013.jpg,11.60648,29.843681,Asteraceae Bidens connata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__084.jpg,15.312551,2.0434377,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/66/07266__070.jpg,-3.8387203,-0.0912051,Asteraceae Heterotheca polothrix,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/57/05357__092.jpg,-5.202449,14.502629,Asteraceae Encelia virginensis,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/45/05645__059.jpg,-22.828953,4.7488747,Asteraceae Erigeron pulcherrimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/066/23/06623__075.jpg,31.833868,2.8357089,Asteraceae Garberia heterophylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/086/60/08660__065.jpg,-2.2768593,-12.648585,Asteraceae Lorandersonia linifolia,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__030.jpg,23.61185,6.5432115,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/57/05357__027.jpg,-2.6858444,15.050243,Asteraceae Encelia virginensis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/87/02987__082.jpg,17.706892,-19.311522,Asteraceae Carphephorus paniculatus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/12/01912__024.jpg,10.504088,30.848085,Asteraceae Bidens eatonii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__067.jpg,23.384579,6.096842,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/57/05357__082.jpg,-5.063102,15.7271185,Asteraceae Encelia virginensis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__073.jpg,24.32551,5.3089914,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/066/23/06623__019.jpg,31.7959,2.1212945,Asteraceae Garberia heterophylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/87/02987__036.jpg,19.662788,-18.738611,Asteraceae Carphephorus paniculatus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/033/28/03328__032.jpg,-14.797717,-19.547031,Asteraceae Chaetadelpha wheeleri,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/64/05664__025.jpg,-28.488035,6.054959,Asteraceae Erigeron tener,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/67/07267__053.jpg,-19.192526,13.885536,Asteraceae Heterotheca pumila,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/45/05645__010.jpg,-24.557198,3.2930038,Asteraceae Erigeron pulcherrimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/66/07266__069.jpg,-2.8496475,-0.6240284,Asteraceae Heterotheca polothrix,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__030.jpg,16.681822,2.4724886,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/082/57/08257__100.jpg,-17.249012,-11.4619255,Asteraceae Lepidospartum latisquamum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__037.jpg,6.5060763,-22.843334,Asteraceae Marshallia graminifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/08/04108__091.jpg,-32.18332,-17.69272,Asteraceae Crepis acuminata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/66/07266__097.jpg,-5.251817,-2.4046803,Asteraceae Heterotheca polothrix,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__026.jpg,1.8201411,-24.556936,Asteraceae Marshallia graminifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/43/14243__036.jpg,11.791234,-15.128416,Asteraceae Symphyotrichum adnatum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/43/14243__027.jpg,-5.7982006,-22.84667,Asteraceae Symphyotrichum adnatum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__028.jpg,16.940826,-26.959852,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/26/05626__075.jpg,-25.925611,13.102017,Asteraceae Erigeron melanocephalus,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/53/05353__049.jpg,1.8514825,17.920408,Asteraceae Encelia californica,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__071.jpg,3.561726,-26.732706,Asteraceae Marshallia graminifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/45/05645__067.jpg,-23.035444,3.493563,Asteraceae Erigeron pulcherrimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__017.jpg,18.018898,-26.512651,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/87/02987__040.jpg,19.265892,-20.044397,Asteraceae Carphephorus paniculatus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/007/75/00775__051.jpg,-19.886261,18.602745,Asteraceae Antennaria marginata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/144/65/14465__087.jpg,-7.246442,-13.427127,Asteraceae Thelesperma subnudum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/15/04115__058.jpg,-28.442186,-18.425512,Asteraceae Crepis occidentalis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/12/04112__092.jpg,-28.807255,-20.177969,Asteraceae Crepis intermedia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/25/01925__059.jpg,4.309425,29.139051,Asteraceae Bidens trichosperma,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/086/60/08660__061.jpg,-2.487404,-12.889366,Asteraceae Lorandersonia linifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/101/83/10183__035.jpg,8.285847,-5.5768967,Asteraceae Packera crocata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/12/04112__060.jpg,-30.407618,-15.378559,Asteraceae Crepis intermedia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__019.jpg,16.785934,1.5437214,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/114/77/11477__030.jpg,-7.875229,-2.586344,Asteraceae Pityopsis falcata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/082/57/08257__023.jpg,-16.561525,-12.797149,Asteraceae Lepidospartum latisquamum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/101/83/10183__040.jpg,7.6399336,-4.8582087,Asteraceae Packera crocata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/10/01910__084.jpg,9.872163,27.799543,Asteraceae Bidens connata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/033/28/03328__003.jpg,-14.141652,-19.244184,Asteraceae Chaetadelpha wheeleri,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__071.jpg,20.304367,10.60595,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/34/01134__060.jpg,4.290338,5.889829,Asteraceae Arnica sororia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/10/01910__018.jpg,12.093136,30.934753,Asteraceae Bidens connata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/142/74/14274__106.jpg,-3.72971,-8.448438,Asteraceae Symphyotrichum porteri,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/25/01925__053.jpg,5.1678305,28.056581,Asteraceae Bidens trichosperma,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__029.jpg,24.393776,7.1392145,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/035/03/03503__068.jpg,17.115046,-5.2977867,Asteraceae Chrysopsis mariana,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__037.jpg,18.085608,1.2576876,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/91/06291__031.jpg,18.577421,4.5462236,Asteraceae Eurybia radula,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/002/97/00297__019.jpg,26.45141,10.7385235,Asteraceae Ageratina jucunda,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/075/20/07520__065.jpg,2.3682573,2.7585917,Asteraceae Hymenoxys hoopesii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/34/01134__097.jpg,5.993415,7.3626494,Asteraceae Arnica sororia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__053.jpg,14.069226,2.9098945,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/090/54/09054__038.jpg,-21.289392,9.538964,Asteraceae Marshallia graminifolia,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/73/05673__078.jpg,-26.293411,18.883568,Asteraceae Erigeron vagus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/007/75/00775__026.jpg,-17.737446,20.81682,Asteraceae Antennaria marginata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__057.jpg,1.8628662,-12.778291,Asteraceae Brickellia longifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/65/08365__094.jpg,10.761525,-27.945946,Asteraceae Liatris quadriflora,FALSE
